"","ID","Increased_Work_Hours","Work_From_Home","Hours_Worked_Per_Day","Meetings_Per_Day","Productivity_Change","Stress_Level","Health_Issue","Job_Security","Childcare_Responsibilities","Commuting_Changes","Technology_Adaptation","Salary_Changes","Team_Collaboration_Challenges","Sector","Affected_by_Covid"
"1",1,"augmentation","Oui",6.4,2.69,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"2",2,"augmentation","Oui",9.18,3.34,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"3",3,"augmentation","Non",10.62,2.22,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Retail","Oui"
"4",4,"augmentation","Oui",5.55,5.16,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","Education","Oui"
"5",5,"Maintien ou une diminution","Oui",11.43,3.13,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Oui","Education","Oui"
"6",6,"augmentation","Oui",7.75,0.59,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"7",7,"Maintien ou une diminution","Non",6.05,7.7,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"8",8,"augmentation","Oui",9.52,3.15,"Aucun changement","High","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"9",9,"augmentation","Oui",7.11,3.14,"Aucun changement","Medium","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Education","Oui"
"10",10,"augmentation","Oui",7.84,6.51,"Aucun changement","High","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"11",11,"Maintien ou une diminution","Oui",7.2,2.19,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"12",12,"Maintien ou une diminution","Oui",6.37,5.71,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"13",13,"augmentation","Oui",9.45,3.12,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Augmentation ou diminution","Oui","Healthcare","Oui"
"14",14,"Maintien ou une diminution","Oui",7.43,2.02,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"15",15,"Maintien ou une diminution","Oui",5.13,6.56,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","IT","Oui"
"16",16,"Maintien ou une diminution","Non",9.11,5.39,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Healthcare","Oui"
"17",17,"augmentation","Non",5.59,5.39,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Oui","IT","Oui"
"18",18,"augmentation","Oui",5.7,4.56,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Healthcare","Oui"
"19",19,"augmentation","Non",10.39,4.9,"Augmentation ou une diminution de la productivité","High","Oui","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"20",20,"Maintien ou une diminution","Oui",5.61,2.16,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Healthcare","Oui"
"21",21,"augmentation","Non",3.37,4.17,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Augmentation ou diminution","Oui","Healthcare","Oui"
"22",22,"Maintien ou une diminution","Non",9.25,2.61,"Aucun changement","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Education","Oui"
"23",23,"Maintien ou une diminution","Oui",7.4,1.92,"Aucun changement","High","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Non","Healthcare","Oui"
"24",24,"augmentation","Non",7.57,4.62,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Non","IT","Oui"
"25",25,"augmentation","Oui",7.38,5.74,"Aucun changement","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","IT","Oui"
"26",26,"augmentation","Non",8.47,3.43,"Aucun changement","High","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Oui","Education","Oui"
"27",27,"Maintien ou une diminution","Oui",6.5,3.69,"Augmentation ou une diminution de la productivité","High","Oui","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Education","Oui"
"28",28,"augmentation","Oui",10.96,2.3,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Education","Oui"
"29",29,"augmentation","Oui",5.05,4.02,"Augmentation ou une diminution de la productivité","Medium","Oui","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"30",30,"Maintien ou une diminution","Oui",8.89,5.15,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","IT","Oui"
"31",31,"augmentation","Non",9.29,5.19,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Education","Oui"
"32",32,"Maintien ou une diminution","Oui",6.49,4.82,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","Retail","Oui"
"33",33,"Maintien ou une diminution","Oui",5.96,3.08,"Aucun changement","High","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"34",34,"augmentation","Oui",10.04,3.03,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"35",35,"Maintien ou une diminution","Oui",6.02,5.2,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","Retail","Oui"
"36",36,"augmentation","Oui",6.79,5.22,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","IT","Oui"
"37",37,"augmentation","Oui",9.78,3.75,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Non","Retail","Oui"
"38",38,"Maintien ou une diminution","Oui",8.07,3.37,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"39",39,"augmentation","Oui",4.41,5.76,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"40",40,"augmentation","Non",11.5,3.47,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Non","Education","Oui"
"41",41,"augmentation","Oui",6.94,5.12,"Augmentation ou une diminution de la productivité","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"42",42,"augmentation","Non",7.2,3.8,"Aucun changement","High","Oui","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"43",43,"Maintien ou une diminution","Oui",8.52,2.43,"Augmentation ou une diminution de la productivité","High","Oui","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"44",44,"augmentation","Oui",9.26,6.42,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","Education","Oui"
"45",45,"Maintien ou une diminution","Oui",11.93,4.19,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Oui","Healthcare","Oui"
"46",46,"augmentation","Oui",4.68,2.94,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"47",47,"augmentation","Oui",9.66,1.92,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","augmentation responsabilités","absence de changement","Oui","Augmentation ou diminution","Oui","Retail","Oui"
"48",48,"augmentation","Non",9.49,2.07,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","IT","Oui"
"49",49,"augmentation","Oui",7.73,3.45,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Non","Education","Oui"
"50",50,"Maintien ou une diminution","Oui",9.58,6.89,"Augmentation ou une diminution de la productivité","Low","Oui","Plus de sécurité","augmentation responsabilités","changements","Non","Augmentation ou diminution","Non","IT","Oui"
"51",51,"augmentation","Oui",9.87,3.13,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Healthcare","Oui"
"52",52,"augmentation","Oui",5.24,6.18,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Healthcare","Oui"
"53",53,"augmentation","Oui",11.5,3.81,"Aucun changement","Medium","Oui","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"54",54,"augmentation","Oui",4.89,2.23,"Augmentation ou une diminution de la productivité","High","Oui","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Augmentation ou diminution","Non","Healthcare","Oui"
"55",55,"augmentation","Oui",5.73,3.3,"Augmentation ou une diminution de la productivité","Low","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Retail","Oui"
"56",56,"augmentation","Oui",7.48,2.08,"Augmentation ou une diminution de la productivité","Medium","Oui","Moindre sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Oui","Healthcare","Oui"
"57",57,"Maintien ou une diminution","Oui",11.85,2.72,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Healthcare","Oui"
"58",58,"Maintien ou une diminution","Oui",7.39,2.68,"Augmentation ou une diminution de la productivité","Low","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Augmentation ou diminution","Non","Retail","Oui"
"59",59,"Maintien ou une diminution","Oui",7.94,1.15,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Education","Oui"
"60",60,"Maintien ou une diminution","Oui",10.87,6.27,"Aucun changement","High","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Non","Education","Oui"
"61",61,"augmentation","Oui",7.4,4.32,"Aucun changement","High","Non","Moindre sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Oui","IT","Oui"
"62",62,"Maintien ou une diminution","Non",5.65,2.98,"Aucun changement","High","Non","Moindre sécurité","aucun changement ou diminution","absence de changement","Oui","Augmentation ou diminution","Non","IT","Oui"
"63",63,"augmentation","Oui",7.17,4.34,"Augmentation ou une diminution de la productivité","Low","Oui","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","Healthcare","Oui"
"64",64,"augmentation","Oui",10.75,2.75,"Aucun changement","High","Non","Plus de sécurité","augmentation responsabilités","changements","Oui","Salaire inchangé","Oui","Retail","Oui"
"65",65,"Maintien ou une diminution","Non",8.15,0.01,"Augmentation ou une diminution de la productivité","High","Non","Moindre sécurité","augmentation responsabilités","changements","Non","Salaire inchangé","Oui","Education","Oui"
"66",66,"augmentation","Oui",11.87,8.44,"Aucun changement","High","Non","Plus de sécurité","aucun changement ou diminution","absence de changement","Non","Salaire inchangé","Non","Retail","Oui"
"67",67,"Maintien ou une diminution","Oui",9.48,4.29,"Aucun changement","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Non","Education","Oui"
"68",68,"augmentation","Oui",6.72,3.12,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Non","Healthcare","Oui"
"69",69,"Maintien ou une diminution","Oui",8.11,1.1,"Aucun changement","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Oui","Salaire inchangé","Oui","IT","Oui"
"70",70,"augmentation","Oui",6.3,1.76,"Augmentation ou une diminution de la productivité","Medium","Non","Moindre sécurité","aucun changement ou diminution","changements","Non","Salaire inchangé","Oui","Retail","Oui"
"71",71,"augmentation","Oui",6.67,6.49,"Augmentation ou une diminution de la productivité","Medium","Non","Plus de sécurité","augmentation responsabilités","absence de changement","Non","Salaire inchangé","Non","Retail","Oui"
